;sent_1;sent_2;answer
1191;Так, школа № 867 вошла в топ-50 учебных заведений, внесших наибольший вклад в развитие МЭШ.;По словам мэра Москвы, этот проект включает в себя более 30 тысяч уроков, 35 тысяч интерактивных приложений, а также более тысячи учебных пособий и учебников.;0.0
1192;Что ждет москвичей на фестивале, Объединенной редакции интернет-изданий Южного округа рассказала оперная певица Вера Кононова.;Подробностями с корреспондентом Объединенной редакции Южного округа поделилась организатор фестиваля и известная оперная певица Вера Кононова.;1.0
1193;В квартал реновации переедут жители 15 домов района Москвы Люблино.;Об этом редактору интернет-газеты «Мое Люблино» сообщила директора ГАУ «НИиПИ Градплан города Москвы» Дина Саттарова.;0.0
1194;Такая информация появилась на портале Мэра и Правительства Москвы.;Список новых площадок опубликовали на официальном сайте Мэра Москвы 17 июня.;0.0
1195;Руководитель зоны отдыха отметил, что Объединенный музей-заповедник «Коломенское-Измайлово-Люблино» в 2018 году посетили 6,5 миллиона жителей и гостей Москвы.;В 2018 году посетителями музея-заповедника «Коломенское» стали пять миллионов человек.;0.0
1196;Например, жители Москвы напишут диктант, посвященный теме космоса.;Главным событием праздника станет космический диктант в павильоне «Космонавтика и авиация».;0.0
1197;На площадках фестиваля «Цветочный джем», где пройдут конкурсы цветников, откроются фермерские шале с необычными угощениями.;Конкурс «Любительских цветников» состоялся на 1474 площадках фестиваля «Цветочный джем» в День города Москвы, 8 сентября.;0.0
1198;Продолжать занятия спортом и вести активный образ жизни ей помог проект «Московское долголетие», который стал для женщины настоящим спасением и отдушиной.;Сотрудники Территориального центра социального обслуживания «Царицынский» подготовили для юбилярши теплые слова и памятные подарки: часы с логотипом «Московского долголетия», цветы и торт.;0.0
1199;За поездку со счета пассажира будут списаны 42 рубля.;При бесконтактной оплате стоимость одной поездки в городском транспорте составляет 42 рубля.;1.0
1200;На работу вышли 182 дворника, которые убирали снег во дворах Братеева.;Таким образом, за сутки нам удалось вывезти 510 кубических метров снега с дворовых территорий.;0.0
1201;Турнир продлится до 31 августа, после чего организаторы премии выберут самых ярких и талантливых москвичек серебряного возраста.;За конкурсантов премии «Дай пять!» могут проголосовать юные москвичи от 7 до 17 лет.;0.0
1202;Кроме того, по диаметральным маршрутам будут курсировать современные поезда сравнимые по уровню комфорта с «Ласточками» и «Москвой».;Для пассажиров Центральных диаметров Москвы пересадки на станции метрополитена сделают бесплатными.;0.0
1203;Алексей Челышев расскажет, какие изменения предстоят округу и какие задачи буду реализованы в ближайшее время.;На встрече Алексей Валентинович расскажет о перспективах развития территории района Орехово-Борисово Южное, а после его выступления слушатели смогут задать префекту интересующие их вопросы.;0.0
1204;В этом году в основу диктанта легло произведение писателя и литературного критика Павла Басинского.;В этом году участники будут писать текст литератора, публициста, критика Павла Басинского.;1.0
1205;Премии и грамоты получили водители и представители структурных подразделений предприятия.;Победители получили грамоты от руководства и премии, а их фотографии украсят доску почета Южного филиала «Мосгортранс».;0.0
1206;Стоимость квартир Москвы, построенных по программе реновации, после переселения вырастет примерно на треть.;Квартиры домов-участников реновации увеличатся в цене.;1.0
1207;Врачи дежурят в павильонах «Здоровая Москва», возле станций метро и МЦК, во флагманских центрах госуслуг.;Мобильные пункты открылись у станций столичного метрополитена и МЦК, во флагманских офисах «Моих документов», в парках и павильонах «Здоровая Москва».;0.0
1208;Информация об этом была опубликована на портале мэра и правительства города.;Информация об этом представлена на портале мэра и правительства города со ссылкой на пресс-службу городского Департамента культурного наследия.;1.0
1209;График работы кабинетов флюорографии регулярно публикуется на сайте проекта, а УЗИ доступно пациентам с 17:00 до 22:00.;Павильон в музее-заповеднике «Царицыно» работает ежедневно с 08:00 до 22:00.;0.0
1210;Анонимное тестирование проведут четыре поликлиники Москвы, горожане смогут сдать анализы в течение всей недели.;Начнется лекция в 10:00 и пройдет по адресу: ул. Елецкая, д.14. Жители Южного округа могут пройти анонимное тестирование в поликлинике № 52.;0.0
1211;Результаты опроса, проведенного Всероссийским центром изучения общественного мнения среди жителей Москвы, показали, что за кандидатов оппозиции готовы проголосовать 6 процентов жителей.;В предыдущей пользовательской проверке приняли участие 51,3 процента жителей Москвы, зарегистрированных для участия в электронном голосовании.;0.0
1212;Отдавая свой голос тому или иному кандидату, мы принимаем участие в строительстве своего будущего.;Голосование помогает обществу строить общее будущее.;1.0
1213;В этом разделе регулярно будут появляться новые данные о грядущих изменениях, в их основу лягут пожелания жителей Москвы.;Сейчас сайт находится в разработке, но уже в ближайшее время вся информация для жителей Москвы станет доступна.;0.0
1214;Любителей спорта ждет расширенная программа единоборств и игровых видов спорта.;Кроме того, организаторы разработали широкую спортивную программу «Сабантуя».;0.0
1215;Не помешает также пропить курс препаратов, укрепляющий иммунитет, и витаминных комплексов.;В столичном Роспотребнодзоре уточнили, что риск заболеть гриппом или ОРВИ также снизится, если соблюдать правила профилактики: мыть руки, ограничить общение с заболевшими и пить витамины.;0.0
1216;Сергей Собянин объяснил, что городские власти сомневались в необходимости рельсового наземного транспорта в Москве.;Сергей Собянин добавил, что в благодаря усердной работе сотрудников Мосгортранса, развитие трамвайной инфраструктуры в Москве не прекратится.;0.0
1217;В Москве появятся новые технологии и стандарты лечения, а также диагностики онкологических заболеваний.;Мэр Москвы Сергей Собянин сообщил о переходе столичных онкологических клиник на лучшие современные технологии лечения рака.;0.0
1218;Такой подарок власти сделают автомобилистам и защитникам Отечества к празднику.;Зона городской парковки в Москве будет бесплатной в День защитника Отечества, 23 февраля.;0.0
1219;Напомним, что избирательная кампания стартовала в Москве 6 июня, а выборы состоятся 8 сентября.;Об этом рассказала пресс-служба городской избирательной комиссии Москвы во вторник, 16 июля.;0.0
1220;На сегодняшний день в столичном метро насчитывается свыше 550 устройств, которые позволяют произвести оплату бесконтактно.;В вестибюлях столичной подземки установили турникеты бесконтактной оплаты.;0.0
1221;Врачи появились в офисах «Мои документы» еще 17 мая, они проверяют артериальное давление всем желающим.;Южные ореховцы могут проверить свое здоровье в офисе «Мои документы» вплоть до 30 июня.;0.0
1222;Кроме того, в парке на востоке Москвы будет работать площадка для воркаута с 80 тренажерами.;Гости парка также смогут заняться фитнесом на специальной площадке для воркаута, где в распоряжении спортсменов окажутся около 80 тренажеров.;0.0
1223;Строительство трассы сейчас находится в активной фазе.;Далее префект рассказал о реконструкции улицы Дорожная, которая сейчас идет полным ходом.;0.0
1224;Культурно-массовые мероприятия прошли на 33 локациях – это улицы, парки, скверы и площади Москвы, которые порадовали посетителей развлекательными программами.;Для горожан проводили концерты, представления и флешмобы по всей Москве: в парках, скверах, на главных площадях и центральных улицах.;1.0
1225;Специалисты «горячей линии» принимают звонки с 8:00 до 19:00.;Звонки принимают с 08:00 до 19:00.;0.0
1226;Знакомство с праздником и тематическими произведениями позволит юным жителям района узнать что-то новое об истории своей страны.;Татьяна Александровна также поделилась подробной программой мероприятия: «Юные ореховцы и их родители узнают о назначении государственного флага.;0.0
1227;Из-за холода и дождей праздник уже дважды переносили (с 9 и 16 августа), однако в среду погода порадует горожан теплом и солнцем.;Праздник был запланирован на 9 августа, но переносится второй раз по причине плохих погодных условий.;0.0
1228;Проектировщики учли нужды горожан в различных объектах инфраструктуры – школах, поликлиниках, детсадах и центрах госуслуг.;Проекты предполагают строительство новых школ, детских, садов, поликлиник и других социальных объектов общего назначения в Москве.;0.0
1229;Кстати, к масштабной программе «Московское долголетие» уже присоединилось более 1 000 братеевцев и свыше 30 тысяч жителей Южного округа.;На сегодняшний день в Москве насчитывается более 180 тысяч «долголетов», 30 тысяч из которых посещают мероприятия проекта в Южном округе.;0.0
1230;Он приурочен к Дню знаний, который отмечают в столице 31 августа и 1 сентября, и пройдет на проспекте Сахарова и ВДНХ.;Молодежный фестиваль «PROлето» будет проходить в Москве с 31 августа по 1 сентября.;0.0
1231;Автомобилисты смогут оставить машину на уличной стоянке, не потратив ни рубля.;По словам руководителя транспортного Департамента Максима Ликсутова, бесплатная парковка не повлияет на загруженность дорог.;0.0
1232;Напомним, что современные поезда серии «Иволга» будут обслуживать пассажиров МЦД-1 (Одинцово – Лобня) и МЦД-2 (Нахабино – Подольск).;Поезда запустят по МЦД-1 и МЦД-2 в конце 2019 года.;0.0
1233;Уже в следующем году коллективная уборка приобрела массовый характер, с тех пор субботники стали традицией доброй традицией для москвичей.;Сергей Собянин напомнил участникам работ по благоустройству, что весной 2019 года Москва празднует 100-летие со дня первого проведенного в городе субботника.;0.0
1234;Такое решение было принято на заседании президиума столичного правительства.;Об этом сообщили в пресс-центре мэрии.;0.0
1235;Посетители, пришедшие в белой верхней одежде, шапке и шарфе, смогут попасть в зоосад совершенно бесплатно.;Для этого необходимо соблюсти одно условие: верхняя одежда, шарф и шапка должны быть белого цвета.;0.0
1236;Службы занятости переместили в центры госуслуг ради удобства москвичей, так как горожане могут обратиться в любой МФЦ, независимо от места регистрации.;Более 220 тысяч раз обратились москвичи по вопросам трудоустройства в центры «Мои документы» с момента интеграции служб занятости в систему госуслуг.;0.0
1237;Именно эта система впоследствии будет опробована на выборах в Мосгордумы.;Планируется, что бета-версия превратится в финальную на сентябрьских выборах в городскую думу Москвы.;0.0
1238;Карта с указанием мест расположения летних кафе была опубликована на Портале открытых данных.;Так сообщается на официальном сайте местных властей.;0.0
1239;Российское общество «Знание» передало в дар библиотекам Южного округа комплекты книг, выпущенных специально для проекта «Великие умы России».;Сегодня в библиотеки нашего Южного округа мы передаем комплекты замечательных книг.;0.0
1240;Как говорят сами долголеты, для них это — возможность перенестись в другую эпоху.;И вот долголеты решили отдать дань эпохе модерна.;0.0
1241;Итоги озвучили в пресс-службе мэра и правительства города после заседания президиума.;Об этом сообщает пресс-служба мэра Сергея Собянина.;0.0
1242;Об этом сообщает сайт Мэра и Правительства Москвы.;О том, как прошли самые масштабные праздники текущей недели, рассказали на портале Мэра и Правительства Москвы.;1.0
1243;Кадетский класс появится в школе № 867 в новом учебном году.;Школа № 949 станет одним из образовательных учреждений, где в следующем учебном году откроется кадетское направление.;0.0
1244;На сегодняшний день 88 жителей Братеева записали питомцев на прием к ветеринару через портал «Активный гражданин».;Записать домашнего питомца на прием к ветеринарному врачу теперь можно на портале «Активный гражданин».;0.0
1245;День студента для участников «Московского долголетия» устроит «Серебряный университет», где прошли обучение многие горожане старшего возраста.;Московские «долголеты» Южного округа отметят Татьянин день (или День российского студенчества) в «Серебряном университете».;1.0
1246;Всеволод Тимофеев видит причину роста популярности парка в насыщенной программе, которую предлагает парк: многочисленные тематические экскурсии, в том числе на иностранном языке, квесты, лекции и уроки.;Все гости активно принимают участие в различных экскурсионных программах: обзорных, интерактивных, тематических, квестах, лекциях и других.;0.0
1247;Всего в столичные библиотеки привезли около 23 тысяч новых изданий.;Так что практически все выставочные стеллажи библиотеки занимают свежие издания.;0.0
1248;Школьники, которых примут в профильные классы, познакомятся с профессией IT-специалиста.;Информация об успешном прохождении испытания поступила в учебные заведения, ставшие площадками проекта.;0.0
1249;Сейчас рабочие готовятся к установке промежуточных опор.;Сейчас специалисты продолжают работы на эстакаде возле торгового центра «Южные вора» и возведение наземного пешеходного перехода.;0.0
1250;Отдельное внимание префект уделит району, где будет проходить встреча, — Орехово-Борисово Южное.;Отдельное внимание префект уделил району Орехово-Борисово Южное, где и проходила встреча.;0.0
1251;На станциях метро установят новые транспортные указатели, на которых будут отмечены Московские центральные диаметры.;Подсайт с подробностями работы Московских центральных диаметров открыли на портале столичного метро.;0.0
1252;Например, мастера-ремесленники представят свои изделия, а туроператоры познакомят горожан и гостей столицы с интересными этно-маршрутами страны.;"Это представления сказочных персонажей российских регионов с участием гостей фестиваля; интерактивный театральный марш участников «Русского поля» и тематический квест.";0.0
1253;Ремонт подразумевает помимо полного обновления всех инженерных систем, создание комфортных пространств, удобных кабинетов для пациентов и врачей.;По словам Сергея Собянина, задача эта очень сложная, учитывая то, что капитальный ремонт и прием пациентов будет проводиться одновременно.;0.0
1254;В течение трех последних дней недели – пятницы, субботы и воскресенья – жители района смогут приобрести свежее мясо, рыбу, молоко, полезные овощи и фрукты, кондитерские изделия и другие продукты.;Так, на рынке южные ореховцы могут приобрести овощи, фрукты, мясо-молочную продукцию, хлебобулочные изделия и другие продовольственные товары.;1.0
1255;Написать проверочный диктант они смогут на двух площадках района.;Оставить заявку можно на официальном сайте тестирования.;0.0
1256;Выплату получат ветераны, а также семьи погибших военнослужащих, прописанные в столице.;Ветераны войны в Афганистане и члены семей военнослужащих, погибших на полях сражений, в течение февраля получат единовременные выплаты в честь 30-летия вывода войск.;1.0
1257;Пользователям нужно ответить на два вопроса: выбрать породу кустарника и район проживания.;Респондентам предлагается остановиться лишь на одном виде кустарников: дерен белый, жимолость татарская, кизильник блестящий, пузыреплодник калинолистный, снежноягодник белый и спирея.;0.0
1258;Российское общество «Знание» в сентябре запускает новый сезон просветительского проекта «Лучшие лекторы страны – населению», который будет реализован в Южном округе.;Полноформатный старт проекта «Лучшие лекторы страны – населению» дадут в Южном административном округе города Москвы в сентябре 2019 года.;0.0
1259;Образовательный проект «Путь героя» презентовали на пресс-конференции столичного Департамента образования и науки, которая состоялась в четверг, 18 июля.;Старт подготовки к походу объявили во время пресс-конференции в столичном Департаменте образования и науки в четверг, 18 июля.;0.0
1260;Сотрудники читальни приняли участие в литературном празднике «Муми-день» в парке «Музеон» и организовали познавательный час о природных заповедниках.;Сотрудники центральной детской библиотеки № 152 проведут многоэтапный квест «Дело в шляпе» во время Муми-дня в парке «Музеон» в пятницу, 9 августа.;0.0
1261;Кроме проспекта Сахарова, гостей встречали парк Победы на Поклонной горе, музей-заповедник «Коломенское», Екатерининский парк и сад «Эрмитаж».;Крупнейшие программы подготовили на проспекте Сахарова, в музее-заповеднике «Коломенское» и ВДНХ.;1.0
1262;Мэр Москвы Сергей Собянин отметил в своем блоге, что реализовать программу удалось благодаря мерам правительства.;Информация об этом представлена на портале мэра и правительства города со ссылкой на пресс-службу городского Департамента культурного наследия.;0.0
1263;Еще одно голосование за лучших медицинских работников столицы стартовало на портале «Активный гражданин», во вторник, 16 апреля.;«Медицинское» голосование стартовало во вторник, 16 апреля.;1.0
1264;Тринадцатилетний Константин Добровенко и семилетний Богдан Сойников вышли на прогулку вечером 26 августа.;Братьев Константина Добровенко и Богдана Сойникова нашли поисковые группы в Орехове-Борисове Южном в среду, 28 августа.;0.0
1265;Нахождение в другом городе или стране повышает риск потери питомца, а найти становится труднее.;А это значительно повышает риск потерять питомца.;0.0
1266;Фильм состоит из двух серий, которые жителям Братеева продемонстрируют в 16:30 и 17:55.;В районных читальнях — № 147 им. Сергея Орлова, № 149 «На Ясеневой», № 152 и № 155 — их будут показывать с 23 по 25 июля.;0.0
1267;Как рассказала генеральный директор главного зоопарка Москвы Светлана Акулова, в нынешнем году у посетителей появится возможность погладить кудрявого осла пуату в контактном павильоне зоосада.;Страна-продавец подтвердила общее физическое здоровье ослов пуату, готовность к транспортировке в Москву и способность к воспроизведению потомства.;0.0
1268;Так, на слушаниях собирают мнения жителей Москвы, касающиеся и жилых строений, и паркингов, и парков.;Проекты предполагают строительство новых школ, детских, садов, поликлиник и других социальных объектов общего назначения в Москве.;0.0
1269;Организатором первого в этом году крупного события проекта выступили Управление социальной защиты населения Южного округа и Центр физической культуры и спорта ЮАО.;Первый в этом году масштабный праздник для южан серебряного возраста организовало Управление социальной защиты населения при поддержки окружного Центра физической культуры и спорта.;0.0
1270;Во время акции они развернут полотно, составленное из двух тысяч флагов регионов России и общественных объединений.;Волонтеры и члены студенческих объединений составят многосоставный флаг из двух тысяч маленьких знамен.;0.0
1271;Врачи павильонов «Здоровая Москва» рассчитывают индекс массы дела, определяют уровень холестерина в крови, измеряют артериальное и внутриглазное давление, а также проводят множество других исследований.;Каждый 60-й житель столицы прошел диспансеризацию или какой-либо вид обследования в мобильных павильонах городских поликлиник Москвы.;0.0
1272;Они смотрят адреса регистрации и место выдачи паспорта, чтобы признать подпись действительной.;Например, подпись не может быть засчитана, если житель по документам зарегистрирован в другом городе.;0.0
1273;Они получат часы марки «Штурманские» — полную копию тех, которые брал с собой в полет Юрий Гагарин в 1961 году.;Они получат в подарок часы российской марки «Штурманские» — именно такие Юрий Гагарин надевал в свой первый полет в космос.;1.0
1274;Для новобрачных Москвы, которые зарегистрируют брак на стадионе, подготовят чирлидерское выступление, а на Воробьевском шоссе регистрация пройдет в стиле «Великого Гэтсби».;Молодоженам Москвы предоставят выбор между особняком Спиридоновых, храмом Христа Спасителя, «Москвариумом» и даже стадионом «Спартак».;0.0
1275;Ветераны проводят выставки, на которых можно узнать много интересных фактов о ЗИЛе.;Сейчас бывшие сотрудники автомобильного завода посвящают ЗИЛу книги и документальные фильмы, тематические встречи, выставки.;0.0
1276;Вся информация попадает в Единую медицинскую информационно-аналитическую систему (ЕМИАС).;Данные о прививках поступают в Единую медицинскую информационно-аналитическую систему (ЕМИАС) со 2 сентября.;1.0
1277;Об этом рассказал Мэр Москвы Сергей Собянин.;Об этом мэр Москвы Сергей Собянин рассказал в ходе посещения рынка в Косино-Ухтомском районе.;1.0
1278;На автобусе Н5 жители района могут доехать до центра Москвы – станции метро «Китай-город».;Кроме того, в праздник ограничат движение на дублере Каширского шоссе – участок от Шипиловской до Ясеневой улицы перекроют с 6:00.;0.0
1279;Американский репер A$AP Rocky явился на звездную тусовку LACMA Art + Film Gala 2018 в непривычном для поклонников виде: главной деталью его лука стал платок от Gucci.;Он выбрал для LACMA Art + Film Gala 2018 шелковый платок от Gucci и надел его наголову в стиле российских бабушек.;1.0
1280;Сделать прививку в павильонах «Здоровая Москва» можно будет до момента их закрытия 15 сентября.;Сделать прививку с сегодняшнего дня можно и в павильоне проекта «Здоровая Москва» на территории государственного музея-заповедника «Царицыно».;1.0
1281;Центральный оркестр Сухопутных сил самообороны Японии сыграет перед посетителями парка «Красная пресня».;В эти же часы в «Красной Пресне» на плавучей сцене будут выступать гости из Японии.;0.0
1282;Окружные соревнования по плаванию «Весенний Кубок» организует Центр физической культуры и спорта ЮАО в воскресенье, 21 апреля.;Юные пловцы физкультурно-оздоровительного комплекса «Орехово-Борисово» поборются за окружной Весенний Кубок по плаванию на водных дорожках ФОКа «Братеево» в воскресенье, 21 апреля.;0.0
1283;Мэр города Сергей Собянин рассказал о «новых адресах счастья» в персональном блоге, а также перечислил несколько площадок.;Познакомиться с полным списком можно на персональном сайте столичного градоначальника Сергея Собянина.;0.0
1284;Братеевский пункт велопроката занял второе место в списке самых популярных станций, открывшихся в этом году.;"Из них две находятся на границе района Орехово-Борисово Южное по адресам: станция метро «Зябликово», выход № 9; Елецкая улица, владение 1А.";0.0
1285;Москва стала первым городом, где появился онлайн-реестр детских прививок, состоящий из 150 наименований вакцин.;Данные порядка 1,9 миллиона юных жителей Москвы занесены в новый онлайн-реестр прививок.;0.0
1286;Горожанам предлагают взять на себя роль орнитологов и помочь определить, в каких местах столицы обитают соловьи.;Облюбованные птицами территории сфотографировали более 50 раз, также орнитологи-любители записали аудио- и видеоматериалы с пением соловьев.;0.0
1287;Кроме того, в 15 районных офисах Москвы состоятся концерты, мастер-классы и лекции.;Сотрудники Дворца госуслуг на территории ВДНХ и в двух флагманских офисах «Моих документов» в Москве также проведут для посетителей специальные квесты с восемью этапами.;0.0
1288;Ограничительные меры на торговлю спиртными напитками и товарами в стекле введут в Москве в День России, 12 июня.;Помимо спиртных напитков, вблизи главных площадок Дня Москвы запретят продажу газированных напитков и соков в стеклянной таре.;0.0
1289;Членами общественной организации являются и жители Братеева, в том числе Ольга и Василий Дмитриевы.;На главной площади перед памятником собрались 800 человек, в том числе и организаторы, представители местных властей и ветеранских организаций Москвы и Московской области.;0.0
1290;Как отметил Сергей Собянин, Москва регулярно пересматривает минимальный размер пенсии.;Этой информацией поделился Мэр столицы Сергей Собянин во время встречи с участниками ветеранского окружного собрания в Зеленограде.;0.0
1291;Особенно интересны братеевцам компьютерные курсы, английский язык, пилатес, скандинавская ходьба и рукоделие.;Они занимаются в спортивных секциях, творческих лабораториях и языковых классах — в программу вошли самые востребованные направления.;0.0
1292;Как считает исполнительный директор фонда «Институт экономики города» Татьяна Полиди, уровень цен поднимется из-за качества жилья: квартиры реновации соответствуют высоким стандартам комфорта.;Не сомневается в росте цен на такую недвижимость и исполнительный директор фонда «Институт экономики города» Татьяна Полиди.;1.0
1293;Музыкант запостил фотографию своего образа в Instagram, но не все поклонники оценили выбор артиста.;Предыстория Волну тренда #babushka запустил известный рэп-исполнитель A$AP Rocky.;0.0
1294;На празднике ожидается аншлаг, ведь с момента открытия «Серебряного университета» на базе МГПУ в ноябре 2017 года его окончили 7 900 москвичей старше 55 лет.;Сейчас в «Серебряном университете» зарегистрированы 2100 москвичей, более 250 из них проживают в Южном округе.;0.0
1295;Она позволяет совершенствовать не только город в целом, а каждое отдельное муниципальное образование.;Главная ее задача заключается в том, чтобы распространить услуги, которые сейчас предоставляет Москва, в разные уголки столицы, но при этом сохранить индивидуальность каждого района.;0.0
